Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
France,0,9274,9132,8832,8750,8668,8583,8771,8719,8654,8605,8528
China,0,299287,299287,300897,300897,300897,300897,300897,300897,300897,300897,300896
Hong Kong SAR- China,0,1810,1814,1828,1829,7,7,7,7,7,7,7
Germany,0,25357,21006,30786,11678,13222,14043,25215,24918,24261,23799,1495
United States,0,21250,12382,10238,45757,251,231,259,255,270,265,263
Japan,0,1691,1419,1285,1132,975,867,709,584,493,358,212
Switzerland,0,2363,2214,2072,1944,1839,1706,1587,1484,1397,1340,1255
United Kingdom,0,264,690,844,871,889,902,934,987,1066,908,710
