Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Croatia,0,189746,180117,100651,71111,70169,69505,62145,52483,49946,49931,41762
Bosnia and Herzegovina,0,99785,95297,46951,27414,27328,27165,24154,21047,20673,16418,15296
The former Yugoslav Rep. of Macedonia,0,1403,779,629,398,398,0,0,37,51,0,0
