Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Eritrea,0,379,461,612,663,675,779,1027,1225,1220,1436,1432
Sudan,0,63197,67556,76646,73004,45261,28496,20315,20528,17568,3157,3907
Ethiopia,0,11139,12595,14862,16428,18119,22649,17103,21253,21857,22221,23524
Rwanda,0,2520,1541,2361,2335,2498,2524,2468,1665,1505,1343,931
Somalia,0,154272,153627,150459,173702,192420,259121,310280,351773,517666,512069,475304
South Sudan,0,0,0,0,0,0,0,0,0,0,16774,19930
Dem. Rep. of the Congo,0,1153,2367,2306,2385,2674,2927,3608,4879,5155,6244,8076
Uganda,0,4438,904,2834,2810,2807,2789,2760,737,627,596,602
Burundi,0,404,782,1188,1195,1270,1313,1313,765,803,1018,1167
