Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Sudan,0,45060,45226,11723,6181,2511,2511,2509,2505,2504,2505,2564
Angola,0,123714,98383,106772,132295,112680,111589,84374,79617,78144,0,558
Central African Rep.,0,207,87,74,31,38,40,36,706,910,1691,53385
Congo,0,6626,5277,5243,817,782,716,706,762,725,732,673
Rwanda,0,19743,11816,42360,37313,29814,22643,80525,69836,61481,50736,43674
Uganda,0,18953,18953,18954,13904,13905,15,16,16,16,20,2686
Burundi,0,19552,19400,19032,17777,17602,17588,17585,12845,8915,9368,9762
