Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Sudan,0,14178,14904,13446,12157,10499,10146,9818,10035,10324,12124,12927
Ethiopia,0,329,481,516,507,468,473,492,562,609,863,1029
Somalia,0,3068,3809,3940,4317,5139,5600,6096,6172,6328,6250,6316
Iraq,0,33,39,35,43,10273,10091,6572,6772,6037,5703,5506
Eritrea,0,98,176,205,274,373,752,859,938,1036,1182,1523
Syrian Arab Rep.,0,6,1,2,4,4,9,9,8,9,12836,131659
State of Palestine,0,70215,70245,70255,70198,70213,70174,70024,70026,70029,70028,70026
