Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Germany,0,1742,2138,1841,761,813,912,1180,1236,1210,1244,528
United States,0,2962,3414,4684,6713,7068,7279,7420,7300,7282,6676,5714
Nigeria,0,7,54,56,28,28,1819,1995,1998,1997,858,548
