Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
El Salvador,0,1687,1681,1680,1679,869,171,183,241,319,324,418
Guatemala,0,4116,2374,1231,1231,274,274,281,289,326,312,324
