Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Russian Federation,0,168,1081,3899,5425,5150,3981,3428,2964,2894,2661,2177
Syrian Arab Rep.,0,19,80,115,100,114,152,177,229,312,355,1987
Afghanistan,0,541,536,381,226,151,196,271,501,785,1267,4328
Rwanda,0,1591,1795,1929,1833,1350,1108,1046,981,1026,966,798
Guinea,0,28,37,73,218,294,500,696,979,1493,1938,2290
Iraq,0,209,167,231,253,292,494,718,962,1329,1541,3058
Serbia (and Kosovo: S/RES/1244 (1999)),0,1750,1872,1889,1606,1320,1172,1059,1040,1066,4,822
Dem. Rep. of the Congo,0,1000,878,866,884,1093,784,748,689,711,677,916
Various,0,2959,2783,1270,1710,3405,4274,2681,4478,7060,6305,2435
