Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Italy,0,136,228,483,959,1236,1387,1483,1498,1494,1513,1515
Benin,0,1221,1100,26632,9444,6208,5600,5921,5912,5883,4188,0
Ghana,0,534,542,14136,8517,7243,1796,1656,1755,1789,1702,3416
Germany,0,5778,5579,5988,3008,3246,3340,4592,4382,4007,3905,1404
United States,0,1790,1994,2173,3404,2437,2433,2419,2377,2288,2048,1648
