Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,3514,3589,3512,3750,7114,6718,6245,5954,5621,5287,4988
Germany,0,3158,3182,5947,2041,1849,1827,2879,2774,2769,2796,401
United States,0,5659,5224,5442,10584,9958,9483,8955,7842,6657,5041,4500
