Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,0,15251,14812,14633,11009,11416,8621,9170,9101,4421,4761,5108
Various,0,0,1270,1270,0,0,1101,1075,124,118,116,116
Central African Rep.,0,0,0,0,0,2500,245,1033,1536,42,46,57
Eritrea,0,108251,110927,116746,157220,160488,124785,113528,103798,100464,112283,109640
Dem. Rep. of the Congo,0,1632,1632,1634,2733,2733,5447,19709,20980,5,15,48
Chad,0,5023,5023,5023,25023,45024,41202,7770,7428,8021,8370,8263
Uganda,0,7983,7901,7895,0,0,0,0,952,220,219,219
