Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Rwanda,0,995,1050,1037,1303,1362,1369,1438,1535,864,830,823
Nigeria,0,16983,16686,9711,2953,2872,2872,2873,2873,3223,3223,1749
Central African Rep.,0,379,630,712,22342,48498,66602,85824,89927,90176,92094,102195
Chad,0,39261,39290,39303,7095,5974,8773,8342,8492,5251,1972,1721
