Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Germany,0,3198,2971,6539,6014,5926,5729,6081,6035,5982,6175,341
Serbia (and Kosovo: S/RES/1244 (1999)),0,1403,779,629,398,398,0,0,37,51,0,0
