Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0,1829,1908,1930,1967,1990,2012,2039,2048,2067,368,268
Iraq,0,1066,1152,1171,1199,1475,1705,1904,1990,2109,1359,1200
Syrian Arab Rep.,0,65,72,78,79,85,86,90,95,98,97,2104
