Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Chad,0,1312,1216,874,905,897,940,954,991,996,994,992
Congo,0,12122,11988,7298,7178,7555,7674,7523,7665,421,317,251
