Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,440,538,613,1429,205,235,257,265,277,276,283
Bangladesh,0,19743,20402,21053,26268,27544,28337,28557,29226,29644,30674,31125
Norway,0,199,459,743,1223,52,55,72,132,161,160,154
Thailand,0,118762,120814,116499,132241,124562,111555,104107,95718,88148,83317,77947
Australia,732,684,651,967,2558,433,455,489,444,514,534,513
United States,0,4789,5342,6793,11639,5334,5171,5021,4751,3164,2739,2471
Japan,0,136,145,240,269,371,746,1193,1467,1645,1732,1831
India,0,940,1162,1471,1812,1812,1967,2952,4630,6621,7671,11122
Malaysia,0,4152,9601,14208,21544,29417,33715,61393,76094,81114,84640,92263
