Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
France,0,7948,7864,7668,7599,7550,7496,7473,7445,7382,7335,7261
Argentina,1321,1328,1329,1333,1333,1333,1,0,0,0,0,0
United States,0,229,6214,14713,16684,295,268,267,284,268,252,225
