Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,2000,2632,3468,3474,4753,4691,4611,4465,4255,3838,3464
Italy,0,1374,1407,1473,1586,1980,1811,2016,2001,1792,1733,1988
France,0,8862,9387,9676,10059,10276,10564,10895,11009,10885,10887,10867
Netherlands,0,1346,1332,1306,1054,940,804,727,684,577,499,468
Germany,0,140702,128419,122891,175579,169616,161919,101068,97908,92968,90773,24449
Iraq,0,13135,13353,13332,16832,15553,15716,10125,15606,15083,15496,15496
Switzerland,0,5779,5613,5501,5516,5345,5245,4900,4557,4224,3926,3638
United Kingdom,0,7717,8602,9055,9200,9260,9219,7666,6172,5776,4171,2348
Austria,0,401,450,466,584,758,1060,1167,1288,1329,1309,1276
