Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Senegal,0,548,548,548,6946,7546,7546,7546,7359,8359,9042,9025
Sierra Leone,0,6127,5955,5955,5955,6465,6454,1788,134,134,134,135
