Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0,1541,1488,1294,1202,1315,2365,2079,1953,1687,1300,1117
Georgia,0,6527,238,119,120,205,670,2329,2478,1900,1404,762
Syrian Arab Rep.,0,0,0,0,0,1,2,4,5,4,53,1163
