Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Sierra Leone,0,25000,7165,5423,5259,6394,6460,168,177,171,171,193
Liberia,0,149639,127256,54810,21816,14489,11097,11120,9789,9972,3520,1761
Côte d'Ivoire,0,9552,4735,3233,4335,4277,3864,3968,4073,6380,6552,6493
