Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,5722,8071,9953,11072,14970,15585,16075,16451,17024,16813,15344
France,0,372,399,440,493,570,665,858,1002,1207,1569,1904
Netherlands,0,2434,2288,2145,1991,1610,1346,1192,938,1072,1117,1217
Australia,294,281,345,537,793,1153,1467,1862,2201,2494,2678,2820
Germany,0,6940,6914,3892,3577,3483,3613,3654,3752,3639,3815,1490
United States,0,21300,18957,26131,41007,45194,47277,51480,54599,58352,60615,65558
Switzerland,0,567,623,667,983,1109,1179,1239,1400,1707,1662,1684
India,0,92349,94349,77200,77200,77200,100003,100003,100003,100003,100003,100003
United Kingdom,0,1650,1849,1993,2162,2367,2482,2416,2242,2373,2155,1966
