Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0,834699,952802,920248,914260,906071,935595,1022494,1027577,840451,824087,814015
Iraq,0,150196,93173,54000,54024,57414,44444,47924,45708,45937,44085,43268
