Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Iraq,0,965,889,754,500000,500000,500000,450000,450000,450000,63037,55509
Syrian Arab Rep.,0,28,37,40,42,41,44,138,198,193,238798,585304
