Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,657,779,829,722,1183,1221,1158,1081,893,766,765
Germany,0,2349,1640,2398,2161,1975,128,133,130,127,121,308
