Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Italy,0,10,64,95,127,307,440,602,604,658,926,1441
Togo,0,11208,10000,8000,5000,0,8113,8073,13575,13676,17371,17746
Germany,0,1435,1491,7136,1491,1309,1339,4270,4294,4280,4323,236
United Kingdom,0,1897,1873,1877,1870,1860,1802,403,244,183,201,191
