Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Sudan,0,198281,214673,212857,215675,162063,56883,20836,19382,18268,7910,1068
Ethiopia,0,70,116,99,128,249,581,891,982,1064,1529,880
Rwanda,0,19604,18902,20213,21866,17846,16162,15717,12590,12998,14684,13376
Somalia,0,892,1089,1811,3752,4573,6085,8172,11151,14023,19000,13144
Eritrea,0,10,12,4,6,139,796,3046,3490,3529,4630,1992
South Sudan,0,0,0,0,0,0,0,0,0,0,11135,22510
Dem. Rep. of the Congo,0,11680,14982,20564,28766,41782,76498,73175,81804,81487,127021,155742
Burundi,0,317,663,1660,1741,2224,3183,3777,4950,6687,10728,10587
Kenya,0,39,32,29,49,54,1908,1684,1397,1338,1124,1197
