Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,2000,835,349,160,93,85,86,69,61,57,70
Norway,0,1394,1383,1362,1336,1065,904,186,55,33,11,9
Australia,4850,3394,2689,1316,521,12,12,4,4,4,3,3
Montenegro,0,0,0,0,1921,2361,2361,2184,1557,894,713,456
Germany,0,3812,2900,2784,1574,17747,16241,4100,4209,4280,4614,359
Bosnia and Herzegovina,0,19477,19213,7458,7269,7163,7070,6941,6836,6769,6733,6709
United States,0,6296,4732,1753,6520,171,131,129,79,67,60,64
Sweden,0,2831,2050,2011,1996,987,113,113,84,65,46,25
Serbia (and Kosovo: S/RES/1244 (1999)),0,189746,180117,100651,71111,70169,69505,62145,52483,49946,49931,41762
