Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ethiopia,0,21,23,78,125,216,210,1509,3398,3398,5538,7578
Rwanda,0,1193,1266,1276,1278,1282,1266,1282,1374,1374,1364,1364
Various,0,24,30,61,4764,4764,11813,11826,11827,11827,13503,13503
Somalia,0,6890,7118,7548,7818,8554,8543,9718,15186,15186,17864,20814
Zimbabwe,0,11,32,114,211,477,473,673,1100,1100,1095,1105
Angola,0,5773,5774,5764,5759,5752,5751,5758,5808,5808,5805,0
Dem. Rep. of the Congo,0,8890,9516,10609,10772,11127,10999,11708,12973,12973,13386,14374
Congo,0,1053,1111,1160,1204,1297,1297,1906,2172,2172,2336,2646
Burundi,0,1986,2075,2183,2196,2217,2155,2273,2412,2412,2359,2329
