Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,0,1195,1307,1807,2310,4281,4757,5000,5281,5574,5995,6512
United States,0,439,425,502,962,1083,1227,1384,1477,1829,2352,2795
