Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Saudi Arabia,0,240000,240007,240015,240016,240016,240025,25,25,25,22,22
Syrian Arab Rep.,0,0,8,8,9,974,1165,631,33,41,48,35
Libya,0,8787,8873,8873,1883,1953,2842,3777,2739,2710,3138,4815
Algeria,4005,4005,4005,4005,4005,4005,4005,4006,4007,4017,4020,4017
Iraq,0,22706,22711,22698,15000,14937,12302,11930,10798,11549,11467,9992
Denmark,0,1834,1481,1095,1025,503,492,485,381,314,265,199
Cyprus,0,14,42,60,108,153,187,1306,1619,1642,1711,1723
Egypt,0,70215,70245,70255,70198,70213,70174,70024,70026,70029,70028,70026
