Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ghana,0,0,10,5,22,21,57,50,55,58,8699,9567
Liberia,0,20000,12408,6592,12590,6865,6607,6414,24536,128067,65560,52786
France,0,317,647,1075,1290,1467,1603,1787,1920,2051,2204,2410
Togo,0,54,83,105,136,134,140,71,66,5151,5593,2433
United States,0,272,412,696,1064,1187,1294,1433,1512,1712,1842,1788
Mali,0,1504,2704,2712,2066,2088,2078,2028,2033,2206,1116,1110
Guinea,0,9552,4735,3233,4335,4277,3864,3968,4073,6380,6552,6493
Italy,0,8,107,560,1012,1896,2454,2900,2973,3240,3764,4159
